# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-03-06 16:15:12.802
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001487,0.3864,0.4453,-0.0761,0.59
0.015045,-0.2404,0.4566,0.1097,0.53
0.030492,-0.6324,0.6867,0.4671,1.04
0.042158,-0.8462,0.1864,0.5692,1.04
0.053594,-0.6920,0.0256,0.0108,0.69
0.063080,0.5601,0.4878,-0.0524,0.74
0.073843,0.7355,0.7354,-0.0184,1.04
0.084864,0.4758,0.7384,0.1423,0.89
0.095839,0.2545,0.4361,0.1942,0.54
0.106384,0.2505,0.1764,0.1286,0.33
0.117342,0.0183,0.2763,0.2300,0.36
0.128434,-0.4529,0.4977,0.4232,0.79
0.139468,-0.7168,0.5702,0.4587,1.02
0.151389,-0.5078,0.5476,0.3741,0.84
0.160688,-0.2585,0.5586,0.2577,0.67
0.171653,-0.2036,0.5953,0.3776,0.73
0.182983,-0.2422,0.5950,0.5304,0.83
0.193729,-0.3909,0.6259,0.5396,0.91
0.204319,-0.6028,0.6537,0.6863,1.12
0.214790,-0.9067,0.6012,0.7934,1.35
0.225799,-1.0655,0.5413,0.7779,1.43
0.236634,-0.9901,0.5621,0.8407,1.42
0.247492,-0.9549,0.6558,0.8282,1.42
0.258465,-0.8543,0.6978,0.7344,1.33
0.269504,-0.7200,0.7072,0.6460,1.20
0.280500,-0.6799,0.7203,0.5421,1.13
0.304242,-0.6769,0.7227,0.4155,1.07
0.323167,-0.6003,0.3118,-0.0427,0.68
0.334232,-0.6181,0.0725,-0.2701,0.68
0.344759,-0.6240,-0.1833,-0.5783,0.87
0.355593,-0.5470,-0.4559,-0.9246,1.17
0.370193,-0.4432,-0.7924,-1.1403,1.46
0.377757,-0.2961,-1.2465,-1.6626,2.10
0.388325,-0.4983,-1.6597,-2.4310,2.99
0.400972,-0.4750,-1.8802,-3.1507,3.70
0.416359,-0.2373,-1.7141,-3.5235,3.93
0.431704,-0.2531,-1.2693,-5.2260,5.38
0.442335,0.1368,-1.3262,-6.4615,6.60
0.453634,0.6848,-1.4481,-8.1320,8.29
0.464222,0.9940,-1.7090,-7.8206,8.07
0.475015,1.7135,-2.2218,-7.0588,7.60
0.486211,2.1421,-2.1512,-6.5292,7.20
0.496962,1.6620,-1.8396,-4.6825,5.30
0.507922,1.4880,-1.5687,-4.6312,5.11
0.518084,2.3026,-1.4774,-3.3694,4.34
0.529521,2.8101,-1.3595,-1.4946,3.46
0.542871,2.4998,-1.0699,-0.2574,2.73
0.556103,1.6580,-0.7486,0.6559,1.93
0.561690,1.0862,-0.4055,0.6716,1.34
0.573458,1.1265,-0.1550,1.0155,1.52
0.584201,1.9798,0.0381,0.9188,2.18
0.597897,2.4859,0.3484,1.7535,3.06
0.608205,1.8491,0.8867,2.0086,2.87
0.626896,0.6272,1.5041,-0.3450,1.67
0.637916,0.7601,1.8395,-1.9083,2.76
0.650543,0.6635,2.3177,-3.1925,4.00
0.662953,1.3135,2.7324,-4.9267,5.78
0.669868,3.3871,2.8599,-5.8129,7.31
0.681215,6.4192,2.5671,-5.0884,8.58
0.692815,8.4143,2.3397,-4.4986,9.82
0.705383,8.5271,2.4027,-3.6039,9.56
0.715923,6.3220,2.6209,-4.5910,8.24
0.724379,3.2649,2.7152,-6.7221,7.95
0.735643,-0.9596,2.6141,-5.7987,6.43
0.746158,-4.1425,1.8957,-0.5636,4.59
0.758433,-6.5698,0.5050,2.8395,7.17
0.769458,-6.9121,-1.1614,3.4002,7.79
0.778453,-7.1083,-2.7925,7.4187,10.65
0.789277,-6.6831,-5.1679,7.9686,11.61
0.800009,-3.0913,-6.8408,8.5217,11.36
0.810898,-0.9914,-5.7646,9.5150,11.17
0.821928,1.0743,-1.5427,4.4896,4.87
0.833765,3.5529,2.7760,-0.6046,4.55
0.844200,5.4454,5.1078,-4.0037,8.47
0.854333,6.4082,5.8394,-6.1900,10.65
0.866117,7.3441,5.9312,-9.2724,13.23
0.878027,9.0065,6.2478,-7.9446,13.54
0.887146,6.5975,5.5004,-1.1762,8.67
0.897703,-0.7638,2.4944,4.5016,5.20
0.908479,-5.7342,-0.8997,3.3660,6.71
0.920637,-3.1265,-2.8121,0.0050,4.21
0.929967,0.6451,-2.1500,-1.3039,2.60
0.941165,1.0484,-0.3202,-2.1166,2.38
0.951579,1.3206,0.3866,-2.3447,2.72
0.962598,2.4597,-0.2791,-2.0779,3.23
0.975420,3.7783,-1.2323,-1.5266,4.26
0.987414,5.2793,-1.8935,-2.6523,6.20
0.994890,6.0135,-1.8479,-5.3249,8.24
1.006221,5.4708,-1.1852,-5.2083,7.65
1.016920,2.6420,-0.9751,-1.3382,3.12
1.030038,1.2311,-1.7511,0.5250,2.20
1.041361,2.7294,-2.9320,-0.4529,4.03
1.053146,3.3796,-3.6965,-1.0673,5.12
1.060323,2.0898,-3.4253,-1.1268,4.17
1.070923,1.2834,-2.6477,-0.8019,3.05
1.085177,1.7048,-2.3535,-0.6929,2.99
1.100597,2.2898,-2.1999,-0.8051,3.28
1.103482,1.6808,-2.1741,0.1524,2.75
1.114008,0.2382,-2.5879,0.3320,2.62
1.126224,-1.1753,-2.7640,0.6635,3.08
1.141090,-1.9029,-2.6381,0.8470,3.36
1.150280,-0.6189,-2.4589,0.1473,2.54
1.157910,0.2178,-2.1585,-0.3468,2.20
1.168689,-0.8210,-2.1819,0.1186,2.33
1.179437,-0.8948,-3.0600,0.9986,3.34
1.192948,0.0106,-4.0431,0.7382,4.11
